OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Wind Turbine Identifier,Maximum Height (m),Maximum Megawatts,Maximum Rotor Diameter (m),Wind Turbine Model,Depth (m),Configuration Option Number,Installation Status,Notes,Longitude (NAD83),Latitude (NAD83),Northing,Easting,UTM Zone,Alternate location,x,y
4814,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B25,266,12,220,8-12 MW,,1,Proposed,,-71.19323307,41.17548473,4560556.623,316029.7614,19N,,-7925194.513,5038261.436
4815,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B36,266,12,220,8-12 MW,,1,Proposed,,-71.12687378,41.16006279,4558706.199,321554.5273,19N,,-7917807.428,5035980.887
4816,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B38,266,12,220,8-12 MW,,1,Proposed,,-71.08248463,41.16063917,4558680.104,325280.549,19N,,-7912866.049,5036066.112
4817,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B39,266,12,220,8-12 MW,,1,Proposed,,-71.06027991,41.16124575,4558703.097,327145.2183,19N,,-7910394.229,5036155.801
4818,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B40,266,12,220,8-12 MW,,1,Proposed,,-71.03828815,41.16158899,4558697.747,328991.296,19N,,-7907946.118,5036206.553
4819,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B41,266,12,220,8-12 MW,,1,Proposed,,-71.01590362,41.16227512,4558730.171,330871.1886,19N,,-7905454.282,5036308.008
4820,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B42,266,12,220,8-12 MW,,1,Proposed,,-70.99423172,41.16247084,4558710,332690,19N,,-7903041.776,5036336.947
4821,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B46,266,12,220,8-12 MW,,1,Proposed,,-71.08225484,41.14422654,4556857.472,325256.2317,19N,,-7912840.469,5033639.63
4822,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B47,266,12,220,8-12 MW,,1,Proposed,,-71.03766037,41.14497852,4556852.387,329000.7912,19N,,-7907876.233,5033750.792
4823,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B59,266,12,220,8-12 MW,,1,Proposed,,-71.05911706,41.11110594,4553134.171,327111.1213,19N,,-7910264.782,5028744.855
4824,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B68,266,12,220,8-12 MW,,1,Proposed,,-71.05832389,41.09443795,4551282.094,327134,19N,,-7910176.486,5026282.486
4825,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B72,266,12,220,8-12 MW,,1,Proposed,,-70.97038944,41.09600756,4551285.612,334523.4255,19N,,-7900387.665,5026514.34
4826,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B73,266,12,220,8-12 MW,,1,Proposed,,-70.94852088,41.09653705,4551303.092,336361.3957,19N,,-7897953.268,5026592.553
4827,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B74,266,12,220,8-12 MW,,1,Proposed,,-71.05802524,41.07784605,4549439.452,327115.581,19N,,-7910143.24,5023831.979
4828,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B75,266,12,220,8-12 MW,,1,Proposed,,-71.03573836,41.07828307,4549444,328989.0329,19N,,-7907662.276,5023896.516
4829,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B78,266,12,220,8-12 MW,,1,Proposed,,-70.96966231,41.07943192,4549444,334542.9013,19N,,-7900306.721,5024066.175
4830,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B79,266,12,220,8-12 MW,,1,Proposed,,-70.94763839,41.07980642,4549444,336394,19N,,-7897855.029,5024121.48
